# macsyfinder 2.0
# models : CONJScan-2.0.1-2.0.1
# /usr/local/bin/macsyfinder --sequence-db /pasteur/zeus/projets/p00/galaxy-prod/galaxy-dist/database/files/008/995/dataset_8995892.dat --db-type ordered_replicon --replicon-topology circular --models-dir /pasteur/zeus/projets/p00/galaxy-prod/galaxy-dist/tool-data/macsyfinder_data --models CONJScan-2.0.1/Plasmids all --worker 1 --out-dir output_dir
# Rejected candidates found:
candidate_id	replicon	model_fqn	cluster_id	hit_id	hit_pos	gene_name	function	reasons
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c6	NZ_JACANE010000014.1_1	44	T4SS_MOBQ	T4SS_MOBV	The quorum of genes required (4) is not reached: 3
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c6	NZ_JACANE010000027.1_3	64	T4SS_MOBP1	T4SS_MOBV	The quorum of genes required (4) is not reached: 3
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c6	NZ_JACANE010000009.1_51	117	T4SS_MOBH	T4SS_MOBV	The quorum of genes required (4) is not reached: 3
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c6	NZ_JACANE010000009.1_52	118	T4SS_t4cp2	T4SS_t4cp1	The quorum of genes required (4) is not reached: 3
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c6	NZ_JACANE010000009.1_63	129	T4SS_virb4	T4SS_virb4	The quorum of genes required (4) is not reached: 3

UserReplicon_T4SS_typeC_2	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeC	c8	NZ_JACANE010000014.1_1	44	T4SS_MOBQ	T4SS_MOBB	The quorum of genes required (4) is not reached: 3
UserReplicon_T4SS_typeC_2	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeC	c8	NZ_JACANE010000027.1_3	64	T4SS_MOBP1	T4SS_MOBB	The quorum of genes required (4) is not reached: 3
UserReplicon_T4SS_typeC_2	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeC	c8	NZ_JACANE010000009.1_51	117	T4SS_MOBH	T4SS_MOBB	The quorum of genes required (4) is not reached: 3
UserReplicon_T4SS_typeC_2	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeC	c8	NZ_JACANE010000009.1_52	118	T4SS_t4cp2	T4SS_t4cp1	The quorum of genes required (4) is not reached: 3
UserReplicon_T4SS_typeC_2	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeC	c8	NZ_JACANE010000009.1_63	129	T4SS_virb4	T4SS_virb4	The quorum of genes required (4) is not reached: 3

UserReplicon_T4SS_typeFA_3	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeFA	c12	NZ_JACANE010000014.1_1	44	T4SS_MOBQ	T4SS_MOBB	The quorum of genes required (5) is not reached: 3
UserReplicon_T4SS_typeFA_3	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeFA	c12	NZ_JACANE010000027.1_3	64	T4SS_MOBP1	T4SS_MOBB	The quorum of genes required (5) is not reached: 3
UserReplicon_T4SS_typeFA_3	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeFA	c12	NZ_JACANE010000009.1_51	117	T4SS_MOBH	T4SS_MOBB	The quorum of genes required (5) is not reached: 3
