# macsyfinder 2.0
# models : CONJScan-2.0.1-2.0.1
# /usr/local/bin/macsyfinder --sequence-db /pasteur/zeus/projets/p00/galaxy-prod/galaxy-dist/database/files/008/995/dataset_8995893.dat --db-type ordered_replicon --replicon-topology circular --models-dir /pasteur/zeus/projets/p00/galaxy-prod/galaxy-dist/tool-data/macsyfinder_data --models CONJScan-2.0.1/Plasmids all --worker 1 --out-dir output_dir
# Rejected candidates found:
candidate_id	replicon	model_fqn	cluster_id	hit_id	hit_pos	gene_name	function	reasons
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c4	NZ_JACAND010000027.1_2	2	T4SS_t4cp2	T4SS_t4cp1	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (4) is not reached: 2
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c4	NZ_JACAND010000027.1_13	13	T4SS_MOBP1	T4SS_MOBV	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (4) is not reached: 2
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c4	NZ_JACAND010000030.1_2	20	T4SS_MOBP1	T4SS_MOBV	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (4) is not reached: 2
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c4	NZ_JACAND010000035.1_2	32	T4SS_MOBQ	T4SS_MOBV	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (4) is not reached: 2
UserReplicon_T4SS_typeB_1	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeB	c4	NZ_JACAND010000036.1_3	36	T4SS_MOBV	T4SS_MOBV	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (4) is not reached: 2

UserReplicon_T4SS_typeC_2	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeC	c6	NZ_JACAND010000027.1_2	2	T4SS_t4cp2	T4SS_t4cp1	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (4) is not reached: 2
UserReplicon_T4SS_typeC_2	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeC	c6	NZ_JACAND010000027.1_13	13	T4SS_MOBP1	T4SS_MOBB	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (4) is not reached: 2
UserReplicon_T4SS_typeC_2	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeC	c6	NZ_JACAND010000030.1_2	20	T4SS_MOBP1	T4SS_MOBB	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (4) is not reached: 2
UserReplicon_T4SS_typeC_2	UserReplicon	CONJScan-2.0.1/Plasmids/T4SS_typeC	c6	NZ_JACAND010000035.1_2	32	T4SS_MOBQ	T4SS_MOBB	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (4) is not reached: 2
